Region;Regions-ID;KV;Kreistyp;Wert;Bundeswert;;Inzidenz;;Anzahl
Greifswald, Kreisfreie Stadt;13001;MV;Ländlicher Raum;88,12;80,18;;0;;0
Ahrweiler, Kreis;7131;RP;Verdichtetes Umland;88,10;80,18;;3,88;;5
Schwabach, Kreisfreie Stadt;9565;BY;Verdichtetes Umland;88,10;80,18;;0;;0
Ludwigslust, Kreis;13054;MV;Ländlicher Raum;87,92;80,18;;0;;0
Neunkirchen, Kreis;10043;SL;Verdichtetes Umland;87,91;80,18;;1,45;;2
Börde, Kreis;15083;ST;Ländliches Umland;87,83;80,18;;1,11;;2
Siegen-Wittgenstein, Kreis;5970;WL;Verdichtetes Umland;87,82;80,18;;2,11;;6
Osnabrück, Kreisfreie Stadt;3404;NI;Kernstädte;87,76;80,18;;1,23;;2
Groß-Gerau, Kreis;6433;HE;Verdichtetes Umland;87,75;80,18;;1,54;;4
Cloppenburg, Kreis;3453;NI;Ländliches Umland;87,70;80,18;;0,62;;1
Koblenz, Kreisfreie Stadt;7111;RP;Kernstädte;87,70;80,18;;2,74;;3
Neumünster, Kreisfreie Stadt;1004;SH;Verdichtetes Umland;87,60;80,18;;3,83;;3
Emsland, Kreis;3454;NI;Ländlicher Raum;87,60;80,18;;0,95;;3
Frankfurt (Oder), Kreisfreie Stadt;12053;BB;Ländliches Umland;87,53;80,18;;4,9;;3
Hof, Kreisfreie Stadt;9464;BY;Ländlicher Raum;87,50;80,18;;0;;0
Borken, Kreis;5554;WL;Verdichtetes Umland;87,46;80,18;;2,99;;11
Helmstedt, Kreis;3154;NI;Ländliches Umland;87,23;80,18;;1,06;;1
Erlangen-Höchstadt, Kreis;9572;BY;Verdichtetes Umland;87,13;80,18;;0,76;;1
Havelland, Kreis;12063;BB;Ländliches Umland;87,10;80,18;;0,64;;1
Ludwigshafen am Rhein, Kreisfreie Stadt;7314;RP;Kernstädte;87,09;80,18;;0;;0
Pirmasens, Kreisfreie Stadt;7317;RP;Verdichtetes Umland;87,08;80,18;;12,05;;5
Mönchengladbach, Kreisfreie Stadt;5116;NO;Kernstädte;87,06;80,18;;1,92;;5
Main-Spessart, Kreis;9677;BY;Ländliches Umland;86,82;80,18;;0;;0
Eichsfeld, Kreis;16061;TH;Ländlicher Raum;86,82;80,18;;0,95;;1
Main-Taunus-Kreis;6436;HE;Verdichtetes Umland;86,77;80,18;;0;;0
Celle, Kreis;3351;NI;Ländlicher Raum;86,70;80,18;;3,9;;7
Amberg, Kreisfreie Stadt;9361;BY;Ländlicher Raum;86,59;80,18;;0;;0
Hildesheim, Kreis;3254;NI;Verdichtetes Umland;86,57;80,18;;1,06;;3
Offenbach, Kreis;6438;HE;Verdichtetes Umland;86,55;80,18;;2,34;;8
Gelsenkirchen, Kreisfreie Stadt;5513;WL;Kernstädte;86,52;80,18;;2,66;;7
Olpe, Kreis;5966;WL;Verdichtetes Umland;86,50;80,18;;1,45;;2
Osterholz, Kreis;3356;NI;Verdichtetes Umland;86,49;80,18;;0,89;;1
Kyffhäuserkreis;16065;TH;Ländlicher Raum;86,48;80,18;;0;;0
Hamm, Kreisfreie Stadt;5915;WL;Kernstädte;86,47;80,18;;1,66;;3
Darmstadt, Kreisfreie Stadt;6411;HE;Kernstädte;86,43;80,18;;0,68;;1
Saarpfalz-Kreis;10045;SL;Verdichtetes Umland;86,36;80,18;;0;;0
Stralsund, Kreisfreie Stadt;13005;MV;Ländlicher Raum;86,35;80,18;;0;;0
Recklinghausen, Kreis;5562;WL;Verdichtetes Umland;86,16;80,18;;0,48;;3
Aurich, Kreis;3452;NI;Verdichtetes Umland;86,12;80,18;;2,64;;5
Südwestpfalz, Kreis;7340;RP;Verdichtetes Umland;86,12;80,18;;0;;0
Mansfeld-Südharz, Kreis;15087;ST;Ländliches Umland;86,12;80,18;;0;;0
Hagen, Kreisfreie Stadt;5914;WL;Kernstädte;86,02;80,18;;1,56;;3
Wismar, Kreisfreie Stadt;13006;MV;Ländlicher Raum;85,97;80,18;;0;;0
Kitzingen, Kreis;9675;BY;Ländliches Umland;85,96;80,18;;6,72;;6
Oldenburg (Oldenburg), Kreisfreie Stadt;3403;NI;Kernstädte;85,95;80,18;;0;;0
Frankfurt am Main, Kreisfreie Stadt;6412;HE;Kernstädte;85,91;80,18;;1,59;;11
Rostock, Kreisfreie Stadt;13003;MV;Kernstädte;85,91;80,18;;1,48;;3
Märkischer Kreis;5962;WL;Verdichtetes Umland;85,89;80,18;;0;;0
Region Hannover, Kreis;3241;NI;Verdichtetes Umland;85,88;80,18;;0;;0
Nordvorpommern, Kreis;13057;MV;Ländlicher Raum;85,84;80,18;;0;;0
Weiden i.d.OPf., Kreisfreie Stadt;9363;BY;Ländlicher Raum;85,82;80,18;;4,72;;2
Bottrop, Kreisfreie Stadt;5512;WL;Kernstädte;85,78;80,18;;2,54;;3
Unna, Kreis;5978;WL;Verdichtetes Umland;85,74;80,18;;4,4;;18
Anhalt-Bitterfeld, Kreis;15082;ST;Ländlicher Raum;85,71;80,18;;0;;0
Darmstadt-Dieburg, Kreis;6432;HE;Verdichtetes Umland;85,65;80,18;;1,37;;4
Wesermarsch, Kreis;3461;NI;Ländliches Umland;85,63;80,18;;0;;0
Schweinfurt, Kreis;9678;BY;Ländlicher Raum;85,56;80,18;;0,87;;1
Hochtaunuskreis;6434;HE;Verdichtetes Umland;85,52;80,18;;0;;0
Esslingen, Kreis;8116;BW;Verdichtetes Umland;85,52;80,18;;2,51;;13
Wiesbaden, Kreisfreie Stadt;6414;HE;Kernstädte;85,51;80,18;;2,18;;6
Ostvorpommern, Kreis;13059;MV;Ländlicher Raum;85,50;80,18;;0;;0
Marburg-Biedenkopf, Kreis;6534;HE;Verdichtetes Umland;85,46;80,18;;5,22;;13
Osterode am Harz, Kreis;3156;NI;Ländliches Umland;85,44;80,18;;0;;0
Harz, Kreis;15085;ST;Ländliches Umland;85,41;80,18;;2,15;;5
Heilbronn, Kreis;8125;BW;Verdichtetes Umland;85,33;80,18;;0,6;;2
Aschaffenburg, Kreisfreie Stadt;9661;BY;Verdichtetes Umland;85,32;80,18;;1,45;;1
Rotenburg (Wümme), Kreis;3357;NI;Ländliches Umland;85,30;80,18;;1,22;;2
Stade, Kreis;3359;NI;Verdichtetes Umland;85,24;80,18;;0,51;;1
Bochum, Kreisfreie Stadt;5911;WL;Kernstädte;85,22;80,18;;2,94;;11
Neubrandenburg, Kreisfreie Stadt;13002;MV;Ländlicher Raum;85,20;80,18;;0;;0
Stendal, Kreis;15090;ST;Ländlicher Raum;85,20;80,18;;0,82;;1
Ulm, Kreisfreie Stadt;8421;BW;Kernstädte;85,19;80,18;;1,64;;2
Tübingen, Kreis;8416;BW;Verdichtetes Umland;85,10;80,18;;0,46;;1
Remscheid, Kreisfreie Stadt;5120;NO;Kernstädte;85,08;80,18;;0,89;;1
Steinburg, Kreis;1061;SH;Ländlicher Raum;84,99;80,18;;2,25;;3
Harburg, Kreis;3353;NI;Verdichtetes Umland;84,96;80,18;;0,41;;1
Bernkastel-Wittlich, Kreis;7231;RP;Ländliches Umland;84,88;80,18;;4,45;;5
Solingen, Kreisfreie Stadt;5122;NO;Kernstädte;84,86;80,18;;3,74;;6
Parchim, Kreis;13060;MV;Ländlicher Raum;84,73;80,18;;0;;0
Main-Kinzig-Kreis;6435;HE;Verdichtetes Umland;84,68;80,18;;0;;0
Holzminden, Kreis;3255;NI;Ländliches Umland;84,60;80,18;;0;;0
Ostprignitz-Ruppin, Kreis;12068;BB;Ländlicher Raum;84,58;80,18;;0,97;;1
Elbe-Elster, Kreis;12062;BB;Ländliches Umland;84,54;80,18;;0;;0
Reutlingen, Kreis;8415;BW;Verdichtetes Umland;84,53;80,18;;1,42;;4
Alb-Donau-Kreis;8425;BW;Ländliches Umland;84,53;80,18;;0;;0
Straubing-Bogen, Kreis;9278;BY;Ländlicher Raum;84,47;80,18;;2,04;;2
Lörrach, Kreis;8336;BW;Verdichtetes Umland;84,46;80,18;;2,24;;5
Jena, Kreisfreie Stadt;16053;TH;Kernstädte;84,43;80,18;;0,94;;1
Rhein-Pfalz-Kreis;7338;RP;Verdichtetes Umland;84,37;80,18;;0;;0
Flensburg, Kreisfreie Stadt;1001;SH;Ländlicher Raum;84,32;80,18;;1,15;;1
Rastatt, Kreis;8216;BW;Verdichtetes Umland;84,31;80,18;;2,64;;6
Jerichower Land;15086;ST;Ländliches Umland;84,23;80,18;;0;;0
Germersheim, Kreis;7334;RP;Verdichtetes Umland;84,18;80,18;;0;;0
Dahme-Spreewald, Kreis;12061;BB;Ländliches Umland;84,11;80,18;;1,23;;2
Lübeck, Kreisfreie Stadt;1003;SH;Kernstädte;84,04;80,18;;4,22;;9
Rheingau-Taunus-Kreis;6439;HE;Verdichtetes Umland;84,01;80,18;;0;;0
Worms, Kreisfreie Stadt;7319;RP;Verdichtetes Umland;83,99;80,18;;0;;0
Bielefeld, Kreisfreie Stadt;5711;WL;Kernstädte;83,98;80,18;;0,61;;2
Osnabrück, Kreis;3459;NI;Verdichtetes Umland;83,78;80,18;;1,96;;7
Sömmerda, Kreis;16068;TH;Ländliches Umland;83,78;80,18;;2,72;;2
Cottbus, Kreisfreie Stadt;12052;BB;Kernstädte;83,74;80,18;;1,96;;2
Demmin, Kreis;13052;MV;Ländlicher Raum;83,74;80,18;;0;;0
Böblingen, Kreis;8115;BW;Verdichtetes Umland;83,73;80,18;;1,59;;6
Schwalm-Eder-Kreis;6634;HE;Ländliches Umland;83,72;80,18;;0;;0
Herzogtum Lauenburg, Kreis;1053;SH;Ländliches Umland;83,71;80,18;;2,64;;5
Main-Tauber-Kreis;8128;BW;Ländliches Umland;83,68;80,18;;0;;0
Lippe, Kreis;5766;WL;Verdichtetes Umland;83,64;80,18;;0,28;;1
Emmendingen, Kreis;8316;BW;Verdichtetes Umland;83,62;80,18;;1,26;;2
Günzburg, Kreis;9774;BY;Verdichtetes Umland;83,59;80,18;;4,9;;6
Fulda, Kreis;6631;HE;Ländlicher Raum;83,56;80,18;;0,91;;2
Kaiserslautern, Kreisfreie Stadt;7312;RP;Verdichtetes Umland;83,56;80,18;;1,01;;1
München, Kreis;9184;BY;Verdichtetes Umland;83,56;80,18;;2,15;;7
Leverkusen, Kreisfreie Stadt;5316;NO;Kernstädte;83,51;80,18;;1,85;;3
Nürnberger Land, Kreis;9574;BY;Verdichtetes Umland;83,48;80,18;;0,6;;1
Essen, Kreisfreie Stadt;5113;NO;Kernstädte;83,47;80,18;;3,27;;19
Ammerland, Kreis;3451;NI;Verdichtetes Umland;83,44;80,18;;0;;0
Schwerin, Kreisfreie Stadt;13004;MV;Ländlicher Raum;83,43;80,18;;0;;0
Sonneberg, Kreis;16072;TH;Ländlicher Raum;83,33;80,18;;0;;0
Teltow-Fläming, Kreis;12072;BB;Ländliches Umland;83,32;80,18;;1,84;;3
Heinsberg, Kreis;5370;NO;Verdichtetes Umland;83,30;80,18;;1,18;;3
Herford, Kreis;5758;WL;Verdichtetes Umland;83,24;80,18;;1,59;;4
Kiel, Kreisfreie Stadt;1002;SH;Kernstädte;83,22;80,18;;3,75;;9
Cham, Kreis;9372;BY;Ländliches Umland;83,21;80,18;;2,33;;3
Schwandorf, Kreis;9376;BY;Ländlicher Raum;83,19;80,18;;1,38;;2
Saale-Holzland-Kreis;16074;TH;Ländliches Umland;83,12;80,18;;0;;0
Dortmund, Kreisfreie Stadt;5913;WL;Kernstädte;83,11;80,18;;2,39;;14
Oberspreewald-Lausitz, Kreis;12066;BB;Ländliches Umland;83,03;80,18;;4,1;;5
Saale-Orla-Kreis;16075;TH;Ländliches Umland;83,03;80,18;;0;;0
Heidelberg, Kreisfreie Stadt;8221;BW;Kernstädte;83,01;80,18;;2;;3
Hof, Kreis;9475;BY;Ländlicher Raum;83,01;80,18;;1,99;;2
Mettmann, Kreis;5158;NO;Verdichtetes Umland;82,97;80,18;;0,81;;4
Regensburg, Kreisfreie Stadt;9362;BY;Kernstädte;82,94;80,18;;2,89;;4
Rhein-Neckar-Kreis;8226;BW;Verdichtetes Umland;82,82;80,18;;0;;0
München, Kreisfreie Stadt;9162;BY;Kernstädte;82,78;80,18;;2,35;;32
Kassel, Kreis;6633;HE;Verdichtetes Umland;82,70;80,18;;0,42;;1
Karlsruhe, Kreis;8215;BW;Verdichtetes Umland;82,70;80,18;;3,23;;14
Oberhausen, Kreisfreie Stadt;5119;NO;Kernstädte;82,68;80,18;;1,4;;3
Saarbrücken, Regionalverband;10041;SL;Kernstädte;82,66;80,18;;0;;0
Fürth, Kreis;9573;BY;Verdichtetes Umland;82,65;80,18;;0,87;;1
Salzlandkreis;15089;ST;Verdichtetes Umland;82,64;80,18;;0;;0
Freudenstadt, Kreis;8237;BW;Ländliches Umland;82,57;80,18;;0;;0
Schleswig-Flensburg, Kreis;1059;SH;Ländlicher Raum;82,48;80,18;;1,51;;3
Suhl, Kreisfreie Stadt;16054;TH;Ländlicher Raum;82,45;80,18;;0;;0
Emden, Kreisfreie Stadt;3402;NI;Verdichtetes Umland;82,44;80,18;;7,85;;4
Kronach, Kreis;9476;BY;Ländliches Umland;82,40;80,18;;0;;0
Bad Doberan, Kreis;13051;MV;Ländliches Umland;82,40;80,18;;0;;0
Saarlouis, Kreis;10044;SL;Verdichtetes Umland;82,35;80,18;;1,48;;3
Zollernalbkreis;8417;BW;Verdichtetes Umland;82,32;80,18;;0;;0
Bremerhaven, Kreisfreie Stadt;4012;HB;Kernstädte;82,28;80,18;;0,88;;1
Neustadt a.d.Aisch-Bad Windsheim, Kreis;9575;BY;Ländlicher Raum;82,24;80,18;;0;;0
Miltenberg, Kreis;9676;BY;Verdichtetes Umland;82,15;80,18;;3,86;;5
St. Wendel, Kreis;10046;SL;Verdichtetes Umland;82,01;80,18;;0;;0
Westerwaldkreis;7143;RP;Verdichtetes Umland;82,00;80,18;;0;;0
Fürstenfeldbruck, Kreis;9179;BY;Verdichtetes Umland;81,98;80,18;;3,38;;7
Hameln-Pyrmont, Kreis;3252;NI;Verdichtetes Umland;81,95;80,18;;0,65;;1
Gütersloh, Kreis;5754;WL;Verdichtetes Umland;81,88;80,18;;1,97;;7
Plön, Kreis;1057;SH;Ländliches Umland;81,87;80,18;;0;;0
Segeberg, Kreis;1060;SH;Verdichtetes Umland;81,84;80,18;;3,42;;9
Rhein-Erft-Kreis;5362;NO;Verdichtetes Umland;81,84;80,18;;0;;0
Fürth, Kreisfreie Stadt;9563;BY;Kernstädte;81,82;80,18;;3,38;;4
Karlsruhe, Kreisfreie Stadt;8212;BW;Kernstädte;81,78;80,18;;1,69;;5
Potsdam-Mittelmark, Kreis;12069;BB;Ländliches Umland;81,75;80,18;;0,96;;2
Oldenburg, Kreis;3458;NI;Ländliches Umland;81,74;80,18;;0;;0
Uckermark, Kreis;12073;BB;Ländlicher Raum;81,69;80,18;;0,77;;1
Saalekreis;15088;ST;Ländliches Umland;81,67;80,18;;0;;0
Dithmarschen, Kreis;1051;SH;Ländlicher Raum;81,62;80,18;;2,22;;3
Enzkreis;8236;BW;Verdichtetes Umland;81,55;80,18;;0;;0
Straubing, Kreisfreie Stadt;9263;BY;Ländlicher Raum;81,48;80,18;;4,39;;2
Vogelsbergkreis;6535;HE;Ländliches Umland;81,47;80,18;;0;;0
Ludwigsburg, Kreis;8118;BW;Verdichtetes Umland;81,47;80,18;;1,53;;8
Lahn-Dill-Kreis;6532;HE;Verdichtetes Umland;81,45;80,18;;0;;0
Haßberge, Kreis;9674;BY;Ländlicher Raum;81,45;80,18;;1,17;;1
Rhein-Lahn-Kreis;7141;RP;Verdichtetes Umland;81,41;80,18;;0;;0
Ansbach, Kreisfreie Stadt;9561;BY;Ländlicher Raum;81,36;80,18;;9,82;;4
Pforzheim, Kreisfreie Stadt;8231;BW;Kernstädte;81,35;80,18;;0,83;;1
Diepholz, Kreis;3251;NI;Ländliches Umland;81,32;80,18;;1,4;;3
Stormarn, Kreis;1062;SH;Verdichtetes Umland;81,30;80,18;;2,16;;5
Nordwestmecklenburg, Kreis;13058;MV;Ländlicher Raum;81,28;80,18;;1,87;;3
Göppingen, Kreis;8117;BW;Verdichtetes Umland;81,27;80,18;;2,35;;6
Pinneberg, Kreis;1056;SH;Verdichtetes Umland;81,25;80,18;;2,63;;8
Rhein-Hunsrück-Kreis;7140;RP;Ländliches Umland;81,23;80,18;;0;;0
Kaiserslautern, Kreis;7335;RP;Verdichtetes Umland;81,23;80,18;;0,94;;1
Spree-Neiße, Kreis;12071;BB;Ländliches Umland;81,21;80,18;;3,14;;4
Aschaffenburg, Kreis;9671;BY;Verdichtetes Umland;81,16;80,18;;0,58;;1
Oder-Spree, Kreis;12067;BB;Ländliches Umland;81,15;80,18;;2,17;;4
Berlin;11000;BE;Kernstädte;81,10;80,18;;0;;0
Limburg-Weilburg, Kreis;6533;HE;Verdichtetes Umland;81,04;80,18;;2,89;;5
Alzey-Worms, Kreis;7331;RP;Verdichtetes Umland;81,04;80,18;;0,79;;1
Mainz-Bingen, Kreis;7339;RP;Verdichtetes Umland;81,01;80,18;;2,95;;6
Hamburg;2000;HH;Kernstädte;80,95;80,18;;0;;0
Regensburg, Kreis;9375;BY;Ländliches Umland;80,93;80,18;;0,54;;1
Hohenlohekreis;8126;BW;Ländliches Umland;80,82;80,18;;0;;0
Werra-Meißner-Kreis;6636;HE;Ländliches Umland;80,80;80,18;;0;;0
Dillingen a.d.Donau, Kreis;9773;BY;Ländliches Umland;80,70;80,18;;1,06;;1
Baden-Baden, Kreisfreie Stadt;8211;BW;Verdichtetes Umland;80,69;80,18;;0;;0
Steinfurt, Kreis;5566;WL;Verdichtetes Umland;80,68;80,18;;2,03;;9
Speyer, Kreisfreie Stadt;7318;RP;Verdichtetes Umland;80,66;80,18;;1,99;;1
Neckar-Odenwald-Kreis;8225;BW;Ländliches Umland;80,64;80,18;;0;;0
Düsseldorf, Kreisfreie Stadt;5111;NO;Kernstädte;80,54;80,18;;1,52;;9
Uelzen, Kreis;3360;NI;Ländlicher Raum;80,51;80,18;;3,17;;3
Waldshut, Kreis;8337;BW;Ländliches Umland;80,49;80,18;;4,18;;7
Ilm-Kreis;16070;TH;Ländliches Umland;80,48;80,18;;0;;0
Roth, Kreis;9576;BY;Verdichtetes Umland;80,36;80,18;;3,99;;5
Cochem-Zell, Kreis;7135;RP;Ländliches Umland;80,35;80,18;;1,57;;1
Eisenach, Kreisfreie Stadt;16056;TH;Ländlicher Raum;80,14;80,18;;2,33;;1
Forchheim, Kreis;9474;BY;Verdichtetes Umland;80,13;80,18;;3,51;;4
Barnim, Kreis;12060;BB;Ländliches Umland;80,12;80,18;;3,39;;6
Würzburg, Kreisfreie Stadt;9663;BY;Kernstädte;80,11;80,18;;1,54;;2
Prignitz, Kreis;12070;BB;Ländlicher Raum;80,00;80,18;;0;;0
Augsburg, Kreisfreie Stadt;9761;BY;Kernstädte;79,94;80,18;;2,19;;6
Würzburg, Kreis;9679;BY;Verdichtetes Umland;79,91;80,18;;2,5;;4
Tuttlingen, Kreis;8327;BW;Verdichtetes Umland;79,90;80,18;;2,94;;4
Biberach, Kreis;8426;BW;Ländliches Umland;79,82;80,18;;3,66;;7
Kleve, Kreis;5154;NO;Verdichtetes Umland;79,80;80,18;;0,98;;3
Münster, Kreisfreie Stadt;5515;WL;Kernstädte;79,72;80,18;;1,04;;3
Dachau, Kreis;9174;BY;Verdichtetes Umland;79,72;80,18;;1,41;;2
Wesel, Kreis;5170;NO;Verdichtetes Umland;79,68;80,18;;1,93;;9
Bremen, Kreisfreie Stadt;4011;HB;Kernstädte;79,63;80,18;;1,63;;9
Weimarer-Land, Kreis;16071;TH;Verdichtetes Umland;79,59;80,18;;0;;0
Birkenfeld, Kreis;7134;RP;Ländliches Umland;79,49;80,18;;2,38;;2
Rems-Murr-Kreis;8119;BW;Verdichtetes Umland;79,43;80,18;;0;;0
Ostholstein, Kreis;1055;SH;Ländliches Umland;79,34;80,18;;0,49;;1
Stuttgart, Kreisfreie Stadt;8111;BW;Kernstädte;79,30;80,18;;1,64;;10
Rheinisch-Bergischer Kreis;5378;NO;Verdichtetes Umland;79,24;80,18;;0;;0
Minden-Lübbecke, Kreis;5770;WL;Verdichtetes Umland;79,23;80,18;;2,22;;7
Trier, Kreisfreie Stadt;7211;RP;Kernstädte;79,14;80,18;;1,89;;2
Nürnberg, Kreisfreie Stadt;9564;BY;Kernstädte;79,12;80,18;;2,58;;13
Göttingen, Kreis;3152;NI;Verdichtetes Umland;78,90;80,18;;0,89;;3
Mecklenburg-Strelitz, Kreis;13055;MV;Ländlicher Raum;78,84;80,18;;0;;0
Altenburger Land, Kreis;16077;TH;Verdichtetes Umland;78,78;80,18;;0;;0
Sigmaringen, Kreis;8437;BW;Ländliches Umland;78,69;80,18;;5,34;;7
Bayreuth, Kreisfreie Stadt;9462;BY;Ländlicher Raum;78,67;80,18;;1,36;;1
Waldeck-Frankenberg, Kreis;6635;HE;Ländliches Umland;78,63;80,18;;0;;0
Erfurt, Kreisfreie Stadt;16051;TH;Kernstädte;78,43;80,18;;1,94;;4
Ingolstadt, Kreisfreie Stadt;9161;BY;Kernstädte;78,41;80,18;;1,57;;2
Hildburghausen, Kreis;16069;TH;Ländlicher Raum;78,31;80,18;;0;;0
Rhein-Kreis Neuss, Kreis;5162;NO;Verdichtetes Umland;78,30;80,18;;4,26;;19
Eifelkreis Bitburg-Prüm;7232;RP;Ländliches Umland;78,26;80,18;;0;;0
Augsburg, Kreis;9772;BY;Verdichtetes Umland;78,16;80,18;;1,23;;3
Neustadt a.d.Waldnaab, Kreis;9374;BY;Ländlicher Raum;78,11;80,18;;1,03;;1
Regen, Kreis;9276;BY;Ländlicher Raum;78,06;80,18;;1,26;;1
Neumarkt i.d.OPf., Kreis;9373;BY;Ländliches Umland;78,05;80,18;;5,41;;7
Wetteraukreis;6440;HE;Verdichtetes Umland;77,98;80,18;;0;;0
Kassel, Kreisfreie Stadt;6611;HE;Kernstädte;77,90;80,18;;3,06;;6
Weimar, Kreisfreie Stadt;16055;TH;Verdichtetes Umland;77,87;80,18;;0;;0
Burgenlandkreis;15084;ST;Ländliches Umland;77,79;80,18;;0;;0
Gera, Kreisfreie Stadt;16052;TH;Kernstädte;77,78;80,18;;1,01;;1
Wuppertal, Kreisfreie Stadt;5124;NO;Kernstädte;77,67;80,18;;1,41;;5
Bamberg, Kreis;9471;BY;Verdichtetes Umland;77,67;80,18;;0;;0
Schwarzwald-Baar-Kreis;8326;BW;Verdichtetes Umland;77,63;80,18;;0;;0
Uecker-Randow, Kreis;13062;MV;Ländlicher Raum;77,57;80,18;;0;;0
Lüchow-Dannenberg, Kreis;3354;NI;Ländlicher Raum;77,46;80,18;;6,02;;3
Rendsburg-Eckernförde, Kreis;1058;SH;Verdichtetes Umland;77,38;80,18;;0,74;;2
Trier-Saarburg, Kreis;7235;RP;Ländliches Umland;77,34;80,18;;1,39;;2
Bad Kreuznach, Kreis;7133;RP;Verdichtetes Umland;77,27;80,18;;1,27;;2
Ostalbkreis;8136;BW;Verdichtetes Umland;77,27;80,18;;0;;0
Cuxhaven, Kreis;3352;NI;Ländliches Umland;77,08;80,18;;0,5;;1
Gotha, Kreis;16067;TH;Verdichtetes Umland;77,08;80,18;;2,87;;4
Soltau-Fallingbostel, Kreis;3358;NI;Ländlicher Raum;76,95;80,18;;0;;0
Schwäbisch Hall, Kreis;8127;BW;Ländliches Umland;76,89;80,18;;5,26;;10
Neu-Ulm, Kreis;9775;BY;Verdichtetes Umland;76,82;80,18;;1,2;;2
Greiz, Kreis;16076;TH;Ländliches Umland;76,75;80,18;;3,7;;4
Passau, Kreisfreie Stadt;9262;BY;Ländlicher Raum;76,62;80,18;;5,9;;3
Südliche Weinstraße, Kreis;7337;RP;Verdichtetes Umland;76,54;80,18;;0,91;;1
Bodenseekreis;8435;BW;Verdichtetes Umland;76,50;80,18;;0;;0
Gifhorn, Kreis;3151;NI;Ländliches Umland;76,45;80,18;;0;;0
Friesland, Kreis;3455;NI;Verdichtetes Umland;76,26;80,18;;1;;1
Rottweil, Kreis;8325;BW;Verdichtetes Umland;76,23;80,18;;2,15;;3
Neuwied, Kreis;7138;RP;Verdichtetes Umland;76,15;80,18;;0,55;;1
Tirschenreuth, Kreis;9377;BY;Ländlicher Raum;76,15;80,18;;3,99;;3
Mainz, Kreisfreie Stadt;7315;RP;Kernstädte;76,06;80,18;;3,47;;7
Kusel, Kreis;7336;RP;Ländliches Umland;76,06;80,18;;1,36;;1
Köln, Kreisfreie Stadt;5315;NO;Kernstädte;76,01;80,18;;2,25;;23
